Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
455,Hunter Dickinson,25,NOP,C,1,0,5.0,1.0,2.0,.500,0.0,0.0,,1.0,2.0,.500,.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,,dickihu01
456,Trentyn Flowers,20,CHI,SF,2,0,3.0,1.0,1.5,.667,0.0,0.5,.000,1.0,1.0,1.000,.667,0.0,0.0,,0.5,0.0,0.5,0.5,0.0,0.0,0.5,0.5,2.0,,flowetr01
457,Colby Jones,23,DET,SG,1,0,7.0,1.0,3.0,.333,0.0,2.0,.000,1.0,1.0,1.000,.333,0.0,0.0,,0.0,4.0,4.0,2.0,0.0,0.0,0.0,1.0,2.0,,jonesco02
458,Isaiah Livers,27,PHO,PF,23,0,10.2,0.7,1.9,.372,0.4,1.3,.323,0.3,0.5,.500,.488,0.2,0.3,.833,0.6,1.3,1.9,0.7,0.4,0.3,0.4,1.0,2.0,,liveris01
459,Wendell Moore Jr.,24,DET,SG,3,0,14.3,1.0,2.0,.500,0.0,0.3,.000,1.0,1.7,.600,.500,0.0,0.0,,0.3,1.0,1.3,1.0,0.7,0.3,0.3,0.3,2.0,,moorewe01
460,Daeqwon Plowden,27,SAC,SG,1,0,14.0,1.0,5.0,.200,0.0,3.0,.000,1.0,2.0,.500,.200,0.0,0.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,,plowdda01
461,Oscar Tshiebwe,26,UTA,C,1,0,15.0,1.0,4.0,.250,0.0,0.0,,1.0,4.0,.250,.250,0.0,1.0,.000,2.0,4.0,6.0,1.0,1.0,0.0,0.0,2.0,2.0,,tshieos01
462,Jahmir Young,25,MIA,PG,5,0,4.8,0.8,2.2,.364,0.4,1.0,.400,0.4,1.2,.333,.455,0.0,0.0,,0.0,0.4,0.4,0.8,0.2,0.0,0.4,0.6,2.0,,youngja05
463,Javonte Cooke,26,POR,SG,9,0,6.8,0.8,2.9,.269,0.3,1.7,.200,0.4,1.2,.364,.327,0.0,0.0,,0.2,0.9,1.1,0.8,0.6,0.0,0.6,0.3,1.9,,cookeja01
464,Mohamed Diawara,20,NYK,SF,36,5,5.1,0.7,1.8,.400,0.4,1.0,.389,0.3,0.8,.414,.508,0.1,0.2,.500,0.3,0.8,1.0,0.5,0.2,0.1,0.3,0.5,1.9,,diawamo01
465,Ron Harper Jr.,25,BOS,SF,7,0,5.0,0.7,2.3,.313,0.4,1.7,.250,0.3,0.6,.500,.406,0.0,0.0,,0.4,0.4,0.9,0.6,0.1,0.4,0.1,0.4,1.9,,harpero02
466,Mason Plumlee,35,CHO,C,14,2,8.9,0.6,0.9,.750,0.0,0.0,,0.6,0.9,.750,.750,0.6,0.9,.667,0.7,2.1,2.9,1.1,0.4,0.0,0.6,0.7,1.9,,plumlma01
467,Andre Jackson Jr.,24,MIL,SG,19,0,6.7,0.5,1.8,.294,0.3,1.2,.227,0.3,0.6,.417,.368,0.5,0.5,.900,0.3,0.5,0.8,1.1,0.3,0.1,0.4,1.0,1.8,,jacksan01
468,Kam Jones,23,IND,SG,12,0,7.3,0.8,2.3,.357,0.1,0.8,.100,0.8,1.5,.500,.375,0.0,0.2,.000,0.3,0.5,0.8,0.9,0.3,0.0,0.3,0.3,1.8,,joneska03
469,E.J. Liddell,25,BRK,PF,8,0,4.4,0.6,1.5,.417,0.3,1.0,.250,0.4,0.5,.750,.500,0.3,0.4,.667,0.4,0.8,1.1,0.0,0.0,0.0,0.0,0.5,1.8,,liddeej01
470,Cody Martin,30,IND,SF,4,0,13.8,0.5,2.5,.200,0.0,1.3,.000,0.5,1.3,.400,.200,0.8,1.5,.500,0.3,3.3,3.5,0.5,1.0,0.5,1.0,1.3,1.8,,martico01
471,Orlando Robinson,25,ORL,C,4,1,6.3,0.8,1.3,.600,0.3,0.5,.500,0.5,0.8,.667,.700,0.0,0.0,,0.5,0.5,1.0,0.8,0.3,0.0,0.0,0.8,1.8,,robinor01
472,Chris Youngblood,23,OKC,SG,29,0,5.0,0.6,1.6,.348,0.5,1.4,.341,0.1,0.2,.400,.500,0.2,0.2,1.000,0.2,0.6,0.8,0.2,0.1,0.0,0.0,0.7,1.8,,youngch01
473,Harrison Ingram,23,SAS,SF,3,0,3.7,0.7,1.0,.667,0.3,0.3,1.000,0.3,0.7,.500,.833,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7,1.7,,ingraha01
474,AJ Johnson,21,WAS,SG,23,0,7.1,0.7,2.7,.258,0.2,0.8,.211,0.5,1.9,.279,.290,0.1,0.2,.750,0.3,0.8,1.1,0.6,0.2,0.0,0.5,0.4,1.7,,johnsaj01
475,Taelon Peter,23,IND,SG,22,0,6.3,0.5,1.8,.300,0.5,1.7,.270,0.1,0.1,.667,.425,0.2,0.3,.667,0.3,0.8,1.0,0.7,0.3,0.1,0.5,0.4,1.7,,peterta01
476,Thanasis Antetokounmpo,33,MIL,SF,14,0,3.1,0.6,1.0,.571,0.0,0.1,.000,0.6,0.9,.615,.571,0.4,0.6,.667,0.2,0.2,0.4,0.1,0.4,0.2,0.2,0.6,1.6,,antetth01
477,Ariel Hukporti,23,NYK,C,30,4,8.9,0.6,1.1,.529,0.0,0.0,.000,0.6,1.1,.545,.529,0.4,0.7,.650,1.0,1.7,2.8,0.6,0.2,0.6,0.5,1.2,1.6,,hukpoar01
478,Jacob Toppin,25,ATL,SF,5,0,3.4,0.8,1.2,.667,0.0,0.0,,0.8,1.2,.667,.667,0.0,0.0,,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.2,1.6,,toppija01
479,LJ Cryer,24,GSW,PG,2,0,2.5,0.5,1.5,.333,0.5,1.0,.500,0.0,0.5,.000,.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,,cryerlj01
480,Tyson Etienne,26,BRK,PG,8,0,4.3,0.5,1.9,.267,0.5,1.6,.308,0.0,0.3,.000,.400,0.0,0.0,,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.6,1.5,,etienty01
481,Anthony Gill,33,WAS,PF,21,0,4.3,0.6,0.9,.632,0.1,0.3,.429,0.4,0.6,.750,.711,0.2,0.2,1.000,0.3,0.6,0.9,0.1,0.0,0.1,0.3,0.3,1.5,,gillan01
482,Bronny James,21,LAL,SG,24,1,6.9,0.5,1.7,.325,0.3,0.9,.333,0.3,0.8,.316,.413,0.1,0.1,1.000,0.2,0.3,0.4,1.1,0.4,0.0,0.5,0.5,1.5,,jamesbr02
483,Curtis Jones,24,DEN,SG,6,0,5.2,0.7,2.3,.286,0.2,1.5,.111,0.5,0.8,.600,.321,0.0,0.0,,0.2,0.7,0.8,0.5,0.0,0.0,0.2,0.5,1.5,,jonescu01
484,Jonathan Mogbo,24,TOR,PF,20,0,6.8,0.7,1.4,.519,0.0,0.0,,0.7,1.4,.519,.519,0.1,0.3,.400,0.6,1.3,1.9,0.5,0.1,0.2,0.3,0.7,1.5,,mogbojo01
485,Johni Broome,23,PHI,C,7,0,5.7,0.6,2.9,.200,0.0,0.4,.000,0.6,2.4,.235,.200,0.3,0.6,.500,0.9,1.0,1.9,0.6,0.3,0.0,0.3,0.7,1.4,,broomjo01
486,Nigel Hayes-Davis,31,PHO,SF,23,0,7.8,0.7,1.9,.349,0.1,0.7,.133,0.6,1.2,.464,.372,0.0,0.1,.500,0.5,0.8,1.3,0.3,0.3,0.0,0.3,0.7,1.4,,hayesni01
487,Isaac Jones,25,2TM,PF,4,1,4.5,0.5,1.0,.500,0.0,0.5,.000,0.5,0.5,1.000,.500,0.3,0.5,.500,0.5,0.0,0.5,0.3,0.0,0.0,0.0,1.0,1.3,,jonesis01
487,Isaac Jones,25,SAC,PF,3,1,5.7,0.3,0.7,.500,0.0,0.3,.000,0.3,0.3,1.000,.500,0.3,0.7,.500,0.7,0.0,0.7,0.3,0.0,0.0,0.0,1.3,1.0,,jonesis01
487,Isaac Jones,25,DET,PF,1,0,1.0,1.0,2.0,.500,0.0,1.0,.000,1.0,1.0,1.000,.500,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,jonesis01
488,Brooks Barnhizer,23,OKC,SG,23,0,7.8,0.5,1.2,.444,0.0,0.3,.167,0.5,0.9,.524,.463,0.2,0.3,.667,0.3,1.5,1.8,0.4,0.2,0.1,0.2,0.6,1.3,,barnhbr01
489,Khaman Maluach,19,PHO,C,18,0,4.7,0.4,1.1,.400,0.0,0.3,.000,0.4,0.8,.533,.400,0.4,0.4,.875,0.3,0.7,1.0,0.2,0.1,0.4,0.5,0.8,1.3,,maluakh01
490,Adou Thiero,21,LAL,SF,15,0,5.8,0.5,1.2,.389,0.0,0.1,.000,0.5,1.1,.412,.389,0.4,0.5,.750,0.5,0.7,1.2,0.3,0.3,0.1,0.3,1.0,1.3,,thierad01
491,Trey Jemison,26,NYK,C,6,0,6.3,0.5,0.5,1.000,0.0,0.0,,0.5,0.5,1.000,1.000,0.2,0.2,1.000,0.8,0.8,1.7,0.2,0.0,0.3,0.5,1.0,1.2,,jemistr01
492,Amari Williams,24,BOS,PF,10,1,6.2,0.3,0.4,.750,0.0,0.0,,0.3,0.4,.750,.750,0.5,0.7,.714,0.3,1.0,1.3,0.3,0.1,0.6,0.2,0.8,1.1,,william01
493,Kyle Lowry,39,PHI,PG,6,0,7.5,0.3,1.3,.250,0.3,1.3,.250,0.0,0.0,,.375,0.0,0.0,,0.0,0.5,0.5,1.2,0.2,0.0,0.3,0.5,1.0,,lowryky01
494,Hunter Sallis,22,PHI,SG,7,0,3.7,0.4,0.7,.600,0.0,0.0,,0.4,0.7,.600,.600,0.1,0.3,.500,0.0,0.1,0.1,0.6,0.0,0.1,0.7,0.3,1.0,,sallihu01
495,Dario Šarić,31,SAC,C,5,0,8.2,0.2,1.2,.167,0.2,0.6,.333,0.0,0.6,.000,.250,0.4,0.4,1.000,0.2,1.0,1.2,0.4,0.0,0.0,0.4,0.6,1.0,,saricda01
496,Jahmai Mashack,23,MEM,SG,7,0,3.6,0.3,1.1,.250,0.3,0.9,.333,0.0,0.3,.000,.375,0.0,0.0,,0.0,0.7,0.7,0.3,0.1,0.0,0.4,0.1,0.9,,mashaja01
497,Bismack Biyombo,33,SAS,C,11,1,5.9,0.4,0.5,.667,0.0,0.0,,0.4,0.5,.667,.667,0.1,0.2,.500,0.2,0.5,0.6,0.3,0.3,0.1,0.3,0.9,0.8,,biyombi01
498,N'Faly Dante,24,ATL,C,4,0,3.8,0.3,1.0,.250,0.0,0.0,,0.3,1.0,.250,.250,0.3,0.3,1.000,0.8,1.0,1.8,0.0,0.5,0.0,0.3,0.3,0.8,,nfalyda01
499,Drew Peterson,26,CHO,PF,6,0,10.7,0.3,2.7,.125,0.0,2.0,.000,0.3,0.7,.500,.125,0.2,0.3,.500,0.5,1.0,1.5,0.3,0.5,0.2,0.0,0.5,0.8,,peterdr01
500,Sharife Cooper,24,WAS,PG,5,0,3.8,0.2,0.4,.500,0.2,0.4,.500,0.0,0.0,,.750,0.0,0.0,,0.0,0.0,0.0,0.2,0.2,0.0,0.4,0.4,0.6,,coopesh01
501,Joe Ingles,38,MIN,SF,13,0,4.2,0.2,0.4,.400,0.1,0.3,.250,0.1,0.1,1.000,.500,0.2,0.2,1.000,0.0,0.4,0.4,0.8,0.5,0.0,0.4,0.5,0.5,,inglejo01
502,Pacome Dadiet,20,NYK,SG,18,0,3.2,0.1,0.5,.222,0.0,0.3,.000,0.1,0.2,.500,.222,0.2,0.2,1.000,0.1,0.6,0.6,0.4,0.1,0.0,0.0,0.2,0.4,,dadiepa01
503,Lachlan Olbrich,22,CHI,C,10,0,7.3,0.2,0.9,.222,0.0,0.4,.000,0.2,0.5,.400,.222,0.0,0.2,.000,0.7,1.4,2.1,0.9,0.0,0.0,0.4,1.6,0.4,,olbrila01
504,Garrett Temple,39,TOR,SG,12,0,2.8,0.1,0.6,.143,0.1,0.4,.200,0.0,0.2,.000,.214,0.1,0.2,.500,0.0,0.3,0.3,0.3,0.3,0.1,0.3,0.2,0.3,,templga01
505,Jahmyl Telfort,24,LAC,PF,8,0,4.0,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.1,0.5,.250,0.0,0.4,0.4,0.1,0.1,0.0,0.1,0.6,0.1,,telfoja01
506,Mo Bamba,27,TOR,C,2,0,3.0,0.0,1.0,.000,0.0,0.0,,0.0,1.0,.000,.000,0.0,0.0,,0.5,0.5,1.0,0.0,0.0,0.5,0.0,1.0,0.0,,bambamo01
507,Isaiah Crawford,24,HOU,SF,2,0,2.5,0.0,0.5,.000,0.0,0.5,.000,0.0,0.0,,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,crawfis01
508,Noa Essengue,19,CHI,PF,2,0,3.0,0.0,1.5,.000,0.0,1.0,.000,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,,essenno01
509,Tosan Evbuomwan,24,NYK,SF,5,0,1.6,0.0,0.2,.000,0.0,0.0,,0.0,0.2,.000,.000,0.0,0.0,,0.2,0.2,0.4,0.0,0.0,0.0,0.0,0.2,0.0,,evbuoto01
510,Vladislav Goldin,24,MIA,C,1,0,1.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,goldivl01
511,Chucky Hepburn,22,TOR,PG,2,0,6.5,0.0,3.0,.000,0.0,2.5,.000,0.0,0.5,.000,.000,0.0,0.0,,0.0,0.5,0.5,1.0,0.5,0.0,0.5,1.0,0.0,,hepbuch01
512,Malevy Leons,26,GSW,SF,2,0,2.5,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,.000,0.0,0.0,,0.5,1.0,1.5,0.0,0.0,0.0,0.5,0.5,0.0,,leonsma01
513,Chris Mañon,24,LAL,SG,4,0,3.5,0.0,0.3,.000,0.0,0.3,.000,0.0,0.0,,.000,0.0,0.0,,0.3,0.5,0.8,0.0,0.3,0.5,0.0,0.8,0.0,,manonch01
,League Average,,,,,,,,,.469,,,.359,,,.547,.544,,,.786,,,,,,,,,,,-9999
