Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards,Player-additional
372,Keaton Wallace,26,ATL,PG,36,2,12.2,1.6,3.7,.421,0.9,2.3,.402,0.6,1.4,.451,.545,0.2,0.3,.545,0.1,1.2,1.3,2.2,0.6,0.1,0.6,1.0,4.2,,wallake01
373,Malaki Branham,22,WAS,SG,25,0,9.5,1.4,3.0,.453,0.4,1.1,.321,1.0,1.9,.532,.513,1.0,1.2,.833,0.4,1.2,1.6,0.9,0.4,0.1,0.5,0.7,4.1,,branhma01
374,Jaylen Clark,24,MIN,SG,42,0,14.0,1.5,3.4,.433,0.4,1.4,.288,1.0,2.0,.537,.493,0.8,1.2,.647,0.9,1.0,2.0,0.6,0.8,0.2,0.3,1.5,4.1,,clarkja02
375,Hugo González,19,BOS,SF,40,2,14.9,1.7,3.2,.516,0.6,1.4,.393,1.1,1.8,.611,.602,0.2,0.4,.529,0.9,2.5,3.4,0.6,0.6,0.3,0.6,1.9,4.1,,gonzahu01
376,Adem Bona,22,PHI,C,35,3,16.7,1.4,2.4,.590,0.1,0.1,.400,1.3,2.2,.603,.602,1.2,1.7,.672,1.8,2.1,3.9,0.3,0.3,1.4,0.8,2.1,4.0,,bonaad01
377,Tony Bradley,28,IND,C,38,3,10.9,1.6,2.8,.557,0.0,0.1,.500,1.5,2.7,.558,.561,0.8,1.1,.744,1.5,1.3,2.8,0.5,0.2,0.2,0.4,1.6,4.0,,bradlto01
378,Brandon Clarke,29,MEM,PF,2,2,10.0,1.5,4.5,.333,0.0,0.0,,1.5,4.5,.333,.333,1.0,2.0,.500,2.0,1.0,3.0,0.5,1.0,0.0,0.0,2.5,4.0,,clarkbr01
379,Ousmane Dieng,22,OKC,C,22,0,11.0,1.5,3.4,.446,0.8,1.8,.436,0.7,1.6,.457,.561,0.3,0.3,1.000,0.3,1.3,1.6,0.9,0.0,0.3,0.3,0.9,4.0,,diengou01
380,Moussa Cisse,23,DAL,C,26,1,11.6,1.5,2.3,.639,0.0,0.0,,1.5,2.3,.639,.639,0.9,1.9,.460,1.9,2.7,4.5,0.2,0.3,1.2,0.8,1.8,3.9,,cissemo01
381,Jabari Walker,23,PHI,PF,40,6,12.7,1.4,3.3,.417,0.4,1.4,.246,1.0,1.9,.547,.470,0.8,1.1,.727,1.3,2.1,3.3,0.5,0.3,0.3,0.4,1.8,3.9,,walkeja01
382,Cam Christie,20,LAC,SG,29,0,10.1,1.2,2.9,.400,0.3,1.2,.278,0.8,1.7,.490,.459,1.0,1.3,.744,0.3,1.4,1.8,0.6,0.3,0.1,0.4,0.5,3.7,,chrisca02
383,Gui Santos,23,GSW,PF,35,3,11.5,1.3,2.8,.465,0.7,1.8,.359,0.7,1.0,.657,.581,0.5,0.7,.667,0.7,1.6,2.3,1.0,0.4,0.2,0.7,1.3,3.7,,santogu01
384,Clint Capela,31,HOU,C,37,1,11.6,1.6,3.1,.531,0.0,0.0,,1.6,3.1,.531,.531,0.4,0.8,.500,2.4,2.2,4.6,0.5,0.5,0.7,0.5,0.9,3.6,,capelca01
385,Rob Dillingham,21,MIN,PG,32,0,9.8,1.4,4.2,.338,0.3,1.0,.355,1.1,3.2,.333,.380,0.5,0.6,.750,0.2,1.1,1.2,1.8,0.5,0.1,1.0,1.1,3.6,,dilliro01
386,Yanic Konan Niederhäuser,22,LAC,C,24,0,8.8,1.4,2.1,.647,0.0,0.1,.000,1.4,2.0,.673,.647,0.8,1.3,.645,0.8,1.3,2.2,0.3,0.1,0.5,0.5,1.2,3.6,,konanya01
387,Charles Bassey,25,MEM,C,2,0,15.5,1.5,4.0,.375,0.0,0.0,,1.5,4.0,.375,.375,0.5,1.5,.333,3.5,4.0,7.5,1.0,0.5,0.5,0.5,2.5,3.5,,bassech01
388,Jamison Battle,24,TOR,SF,34,2,8.8,1.3,2.4,.549,0.6,1.4,.458,0.7,1.0,.676,.683,0.2,0.3,.667,0.3,1.2,1.5,0.4,0.1,0.1,0.4,0.8,3.5,,battlja01
389,Larry Nance Jr.,33,CLE,PF,19,2,14.3,1.4,3.9,.365,0.6,2.1,.308,0.8,1.8,.429,.446,0.1,0.2,.333,0.8,1.8,2.7,1.1,0.6,0.2,0.5,2.3,3.5,,nancela02
390,Kelly Olynyk,34,SAS,C,28,0,9.5,1.2,2.6,.472,0.3,1.4,.237,0.9,1.2,.735,.535,0.7,1.1,.667,0.6,1.3,1.9,1.3,0.5,0.0,0.6,1.2,3.5,,olynyke01
391,Doug McDermott,34,SAC,SF,7,0,10.0,1.1,3.3,.348,1.1,3.3,.348,0.0,0.0,,.522,0.0,0.0,,0.0,0.7,0.7,0.3,0.0,0.1,0.4,0.7,3.4,,mcderdo01
392,Drew Timme,25,LAL,PF,11,0,8.4,1.5,2.5,.593,0.5,0.9,.500,1.0,1.5,.647,.685,0.0,0.1,.000,0.5,1.0,1.5,1.0,0.5,0.0,0.3,0.7,3.4,,timmedr01
393,Jamir Watkins,24,WAS,SG,19,2,14.5,1.2,2.5,.458,0.4,1.5,.250,0.8,1.1,.750,.531,0.7,0.9,.778,0.7,2.4,3.1,0.6,0.7,0.4,0.4,2.4,3.4,,watkija01
394,Chaz Lanier,24,DET,SG,16,0,9.6,1.1,3.0,.354,0.9,2.6,.341,0.2,0.4,.429,.500,0.3,0.3,1.000,0.4,0.6,0.9,0.8,0.3,0.0,0.1,0.3,3.3,,laniech01
395,James Wiseman,24,IND,C,4,1,14.5,1.5,2.5,.600,0.0,0.0,,1.5,2.5,.600,.600,0.3,0.5,.500,1.3,0.8,2.0,0.8,0.0,0.3,1.3,2.5,3.3,,wisemja01
396,Devin Carter,23,SAC,PG,12,0,8.4,1.1,3.2,.342,0.4,1.7,.250,0.7,1.5,.444,.408,0.6,0.6,1.000,0.4,0.8,1.2,1.1,0.5,0.2,0.7,0.8,3.2,,cartede02
397,Dorian Finney-Smith,32,HOU,PF,13,0,15.5,1.1,3.4,.318,0.8,2.7,.286,0.3,0.7,.444,.432,0.2,0.2,1.000,1.0,1.7,2.7,0.5,0.2,0.2,0.5,1.7,3.2,,finnedo01
398,Myron Gardner,24,MIA,SF,18,0,7.1,1.2,2.6,.457,0.6,1.5,.370,0.6,1.1,.579,.565,0.3,0.5,.667,0.8,1.2,1.9,0.8,0.4,0.2,0.1,1.4,3.2,,gardnmy01
399,Miles Kelly,23,DAL,PG,9,0,8.6,1.2,3.1,.393,0.8,2.4,.318,0.4,0.7,.667,.518,0.0,0.0,,0.4,0.9,1.3,0.6,0.2,0.0,0.3,0.9,3.2,,kellymi02
400,Dwight Powell,34,DAL,C,32,7,14.9,1.0,1.5,.653,0.0,0.0,,1.0,1.5,.653,.653,1.2,1.8,.655,1.3,2.5,3.9,1.0,0.6,0.4,0.5,2.0,3.2,,poweldw01
401,Nick Richards,28,PHO,C,28,2,9.1,1.3,2.5,.493,0.0,0.0,,1.3,2.5,.493,.493,0.7,1.0,.679,1.3,2.0,3.3,0.3,0.1,0.5,0.9,1.4,3.2,,richani01
402,Tyus Jones,29,ORL,PG,43,8,16.1,1.2,3.5,.336,0.6,2.3,.278,0.5,1.2,.442,.426,0.1,0.1,1.000,0.2,0.9,1.1,2.3,0.7,0.1,0.3,0.6,3.1,,jonesty01
403,Mark Sears,23,MIL,PG,7,0,3.7,0.9,1.9,.462,0.6,1.1,.500,0.3,0.7,.400,.615,0.9,1.1,.750,0.1,0.1,0.3,0.3,0.0,0.0,0.6,0.6,3.1,,searsma01
404,Dalen Terry,23,CHI,SG,28,0,10.1,1.2,2.8,.436,0.5,1.2,.382,0.8,1.6,.477,.519,0.2,0.4,.545,0.5,1.2,1.7,1.1,0.6,0.3,0.6,1.0,3.1,,terryda01
405,Joan Beringer,19,MIN,PF,19,0,6.7,1.4,2.0,.711,0.0,0.0,,1.4,2.0,.711,.711,0.2,0.2,.750,0.9,1.1,2.1,0.3,0.2,0.4,0.3,1.0,3.0,,berinjo01
406,Kobe Bufkin,22,LAL,SG,4,0,11.3,1.0,2.8,.364,0.5,1.8,.286,0.5,1.0,.500,.455,0.5,0.5,1.000,0.3,1.0,1.3,0.5,0.3,0.8,0.3,0.8,3.0,,bufkiko01
