player,age,team,pos,g,gs,mp,fg,fga,fg_percent,three_points,three_pointsa,three_points_percent,two_points,two_pointsa,two_points_percent,efg_percent,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,points_per_game,points_per_minute
AJ Johnson,21.0,WAS,SG,23.0,0.0,7.1,0.7,2.7,0.258,0.2,0.8,0.211,0.5,1.9,0.279,0.29,0.1,0.2,0.75,0.3,0.8,1.1,0.6,0.2,0.0,0.5,0.4,1.7,0.07391304347826087,0.23943661971830987
Taelon Peter,23.0,IND,SG,22.0,0.0,6.3,0.5,1.8,0.3,0.5,1.7,0.27,0.1,0.1,0.667,0.425,0.2,0.3,0.667,0.3,0.8,1.0,0.7,0.3,0.1,0.5,0.4,1.7,0.07727272727272727,0.2698412698412698
Thanasis Antetokounmpo,33.0,MIL,SF,14.0,0.0,3.1,0.6,1.0,0.571,0.0,0.1,0.0,0.6,0.9,0.615,0.571,0.4,0.6,0.667,0.2,0.2,0.4,0.1,0.4,0.2,0.2,0.6,1.6,0.1142857142857143,0.5161290322580645
Ariel Hukporti,23.0,NYK,C,30.0,4.0,8.9,0.6,1.1,0.529,0.0,0.0,0.0,0.6,1.1,0.545,0.529,0.4,0.7,0.65,1.0,1.7,2.8,0.6,0.2,0.6,0.5,1.2,1.6,0.05333333333333334,0.1797752808988764
Jacob Toppin,25.0,ATL,SF,5.0,0.0,3.4,0.8,1.2,0.667,0.0,0.0,0.0,0.8,1.2,0.667,0.667,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.2,0.0,0.2,1.6,0.32,0.4705882352941177
LJ Cryer,24.0,GSW,PG,2.0,0.0,2.5,0.5,1.5,0.333,0.5,1.0,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,1.5,0.75,0.6
Tyson Etienne,26.0,BRK,PG,8.0,0.0,4.3,0.5,1.9,0.267,0.5,1.6,0.308,0.0,0.3,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.6,1.5,0.1875,0.3488372093023256
Anthony Gill,33.0,WAS,PF,21.0,0.0,4.3,0.6,0.9,0.632,0.1,0.3,0.429,0.4,0.6,0.75,0.711,0.2,0.2,1.0,0.3,0.6,0.9,0.1,0.0,0.1,0.3,0.3,1.5,0.07142857142857142,0.3488372093023256
Bronny James,21.0,LAL,SG,24.0,1.0,6.9,0.5,1.7,0.325,0.3,0.9,0.333,0.3,0.8,0.316,0.413,0.1,0.1,1.0,0.2,0.3,0.4,1.1,0.4,0.0,0.5,0.5,1.5,0.0625,0.21739130434782608
Curtis Jones,24.0,DEN,SG,6.0,0.0,5.2,0.7,2.3,0.286,0.2,1.5,0.111,0.5,0.8,0.6,0.321,0.0,0.0,0.0,0.2,0.7,0.8,0.5,0.0,0.0,0.2,0.5,1.5,0.25,0.28846153846153844
Jonathan Mogbo,24.0,TOR,PF,20.0,0.0,6.8,0.7,1.4,0.519,0.0,0.0,0.0,0.7,1.4,0.519,0.519,0.1,0.3,0.4,0.6,1.3,1.9,0.5,0.1,0.2,0.3,0.7,1.5,0.075,0.22058823529411764
Johni Broome,23.0,PHI,C,7.0,0.0,5.7,0.6,2.9,0.2,0.0,0.4,0.0,0.6,2.4,0.235,0.2,0.3,0.6,0.5,0.9,1.0,1.9,0.6,0.3,0.0,0.3,0.7,1.4,0.19999999999999998,0.24561403508771928
Nigel Hayes-Davis,31.0,PHO,SF,23.0,0.0,7.8,0.7,1.9,0.349,0.1,0.7,0.133,0.6,1.2,0.464,0.372,0.0,0.1,0.5,0.5,0.8,1.3,0.3,0.3,0.0,0.3,0.7,1.4,0.0608695652173913,0.1794871794871795
Isaac Jones,25.0,2TM,PF,4.0,1.0,4.5,0.5,1.0,0.5,0.0,0.5,0.0,0.5,0.5,1.0,0.5,0.3,0.5,0.5,0.5,0.0,0.5,0.3,0.0,0.0,0.0,1.0,1.3,0.325,0.2888888888888889
Isaac Jones,25.0,SAC,PF,3.0,1.0,5.7,0.3,0.7,0.5,0.0,0.3,0.0,0.3,0.3,1.0,0.5,0.3,0.7,0.5,0.7,0.0,0.7,0.3,0.0,0.0,0.0,1.3,1.0,0.3333333333333333,0.17543859649122806
Isaac Jones,25.0,DET,PF,1.0,0.0,1.0,1.0,2.0,0.5,0.0,1.0,0.0,1.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0
Brooks Barnhizer,23.0,OKC,SG,23.0,0.0,7.8,0.5,1.2,0.444,0.0,0.3,0.167,0.5,0.9,0.524,0.463,0.2,0.3,0.667,0.3,1.5,1.8,0.4,0.2,0.1,0.2,0.6,1.3,0.05652173913043478,0.16666666666666669
Khaman Maluach,19.0,PHO,C,18.0,0.0,4.7,0.4,1.1,0.4,0.0,0.3,0.0,0.4,0.8,0.533,0.4,0.4,0.4,0.875,0.3,0.7,1.0,0.2,0.1,0.4,0.5,0.8,1.3,0.07222222222222223,0.2765957446808511
Adou Thiero,21.0,LAL,SF,15.0,0.0,5.8,0.5,1.2,0.389,0.0,0.1,0.0,0.5,1.1,0.412,0.389,0.4,0.5,0.75,0.5,0.7,1.2,0.3,0.3,0.1,0.3,1.0,1.3,0.08666666666666667,0.22413793103448276
Trey Jemison,26.0,NYK,C,6.0,0.0,6.3,0.5,0.5,1.0,0.0,0.0,0.0,0.5,0.5,1.0,1.0,0.2,0.2,1.0,0.8,0.8,1.7,0.2,0.0,0.3,0.5,1.0,1.2,0.19999999999999998,0.19047619047619047
Amari Williams,24.0,BOS,PF,10.0,1.0,6.2,0.3,0.4,0.75,0.0,0.0,0.0,0.3,0.4,0.75,0.75,0.5,0.7,0.714,0.3,1.0,1.3,0.3,0.1,0.6,0.2,0.8,1.1,0.11000000000000001,0.1774193548387097
Kyle Lowry,39.0,PHI,PG,6.0,0.0,7.5,0.3,1.3,0.25,0.3,1.3,0.25,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.0,0.5,0.5,1.2,0.2,0.0,0.3,0.5,1.0,0.16666666666666666,0.13333333333333333
Hunter Sallis,22.0,PHI,SG,7.0,0.0,3.7,0.4,0.7,0.6,0.0,0.0,0.0,0.4,0.7,0.6,0.6,0.1,0.3,0.5,0.0,0.1,0.1,0.6,0.0,0.1,0.7,0.3,1.0,0.14285714285714285,0.27027027027027023
Dario Šarić,31.0,SAC,C,5.0,0.0,8.2,0.2,1.2,0.167,0.2,0.6,0.333,0.0,0.6,0.0,0.25,0.4,0.4,1.0,0.2,1.0,1.2,0.4,0.0,0.0,0.4,0.6,1.0,0.2,0.12195121951219513
